id,familia,latencia_s,coste_usd,tokens_entrada,tokens_salida,llamadas,cita,cifra,trayectoria,recall@5,respuesta
ho-001,extractiva,12.906658769999922,0.01514025,12217,1594,3,True,,True,True,"NVIDIA señala en los factores de riesgo (Item 1A) de su informe 10-K para el ejercicio fiscal 2024 que no dispone de un suministro garantizado de obleas, componentes ni capacidad de producción, y que las entregas de suministro y la producción pueden no ser lineales a lo largo de un trimestre o año. Asimismo, indica que depende de terceros para la fabricación y ensamblaje, y que aunque realiza compromisos a largo plazo, paga primas y entrega depósitos para asegurar capacidad y suministro futuros, corre el riesgo de no asegurar compromisos suficientes o sufrir desajustes entre la oferta y la demanda."
ho-002,extractiva,6.8751816450001115,0.008265,6780,848,3,True,,True,True,"Según la sección de riesgo de mercado (Item 7A) del informe 10-K de Alphabet para el ejercicio fiscal 2025, las principales exposiciones a divisas frente al dólar estadounidense corresponden al dólar australiano, la libra esterlina, el dólar canadiense, el euro y el yen japonés."
ho-003,extractiva,12.486329217000048,0.01247025,9172,1491,4,True,,True,True,"En el ejercicio fiscal 2025, las ventas netas de Apple en la Gran China cayeron un 4% (de 66.952 millones de dólares en 2024 a 64.377 millones de dólares en 2025). Esta disminución se debió principalmente a menores ventas netas de iPhone, compensadas parcialmente por mayores ventas netas de Mac."
ho-004,numerica,2.7545942620001824,0.003717,2801,431,2,,True,True,,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el activo total de Microsoft ascendía a 512.163.000.000 USD (512.163 millones de dólares)."
ho-005,numerica,15.496053098999937,0.0189195,17336,1578,5,True,,True,,"Amazon no reporta la cifra de beneficio bruto (gross profit) ni margen bruto en sus estados financieros del ejercicio 2025. La compañía explica en su informe 10-K que considera que los ingresos operativos (operating income) son una medida más representativa debido a la diversidad de sus categorías de productos y servicios. Como referencia de sus resultados de 2025, reportó unas ventas netas totales de 716.924 millones de dólares y un coste de ventas de 356.414 millones de dólares."
ho-006,numerica,18.59340765700017,0.02453475,16468,3249,6,True,,True,,"En el ejercicio fiscal 2023 (año finalizado el 29 de enero de 2023), el revenue de NVIDIA fue de 26.974 millones de dólares (26.974.000.000 USD), según consta en los estados financieros comparativos reportados en el informe 10-K del ejercicio fiscal 2024."
ho-007,comparativa,11.973576214000104,0.014025,11330,1474,5,True,False,True,True,"Los ingresos totales de Apple aumentaron en 25.126 millones de USD (un crecimiento del 6,43%), pasando de 391.035 millones de USD en FY2024 a 416.161 millones de USD en FY2025. Por su parte, las ventas netas del iPhone aumentaron un 4% (de 201.183 millones de USD en 2024 a 209.586 millones de USD en 2025), lo cual se debió a mayores ventas netas de los modelos Pro."
ho-008,comparativa,16.05881175600007,0.0198555,18069,1681,6,True,False,True,False,"El gasto en investigación y desarrollo (I+D) de Alphabet aumentó en 11.761.000.000 USD (un 23,84%) entre 2024 y 2025, pasando de 49.326.000.000 USD a 61.087.000.000 USD. Respecto a la compensación y la plantilla, la compañía advierte que las fluctuaciones en los gastos de compensación de los empleados pueden no correlacionarse directamente con los cambios en el número de empleados (headcount), debido a factores como las concesiones anuales de compensación basada en acciones (SBC) que se consolidan (vesting) a lo largo del tiempo."
ho-009,comparativa,11.64572833200009,0.015516,12693,1599,6,True,True,True,True,"El beneficio bruto de NVIDIA aumentó en 53.557 millones de USD (+120,89%), pasando de 44.301 millones de USD en FY2024 a 97.858 millones de USD en FY2025. El margen bruto reportado fue del 72,7% en FY2024 y del 75,0% en FY2025 (un aumento de 2,3 puntos porcentuales), impulsado principalmente por una mayor proporción de ingresos provenientes de Data Center."
ho-010,comparativa,12.658106525999983,0.016974,15622,1402,6,True,True,True,True,"El beneficio operativo de Microsoft aumentó un 17,45% entre FY2024 y FY2025, pasando de 109.433.000.000 USD a 128.528.000.000 USD. La dirección destaca que el beneficio operativo creció en todos sus segmentos: Productivity and Business Processes aumentó un 17% (a 69.773 millones de USD) impulsado por Microsoft 365 Commercial cloud; Intelligent Cloud creció un 18% (a 44.589 millones de USD) impulsado por Azure pese al coste de escalar infraestructura de IA; y More Personal Computing avanzó un 18% (a 14.166 millones de USD) impulsado por Gaming y publicidad en búsquedas."
